,사고일시,사고월,사고시,사고요일,시간대,시군구,대분류,중분류,소분류,사고내용,사망자수,중상자수,경상자수,부상신고자수,법규위반,노면상태,기상상태,도로형태,가해운전자 성별,가해운전자 연령,주말,공휴일,휴일,부상자수,ECLO,교통안전지수,도로환경,주류 인허가 음식점,사고건수
0,2021-01-01 00:00:00,1월,00시,금요일,새벽,서울특별시 은평구 응암동,서울특별시,은평구,응암동,중상사고,0,1,0,0,신호위반,건조,맑음,교차로 - 교차로안,남,39세,0,1,1,0,5,80.11,82.5,729.0,2
1,2021-01-01 03:00:00,1월,03시,금요일,새벽,서울특별시 금천구 독산동,서울특별시,금천구,독산동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,여,33세,0,1,1,0,3,76.2,69.31,1148.0,1
2,2021-01-01 04:00:00,1월,04시,금요일,새벽,서울특별시 강남구 일원동,서울특별시,강남구,일원동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,32세,0,1,1,0,3,71.06,65.21,220.0,1
3,2021-01-01 22:00:00,1월,22시,금요일,밤,서울특별시 강동구 천호동,서울특별시,강동구,천호동,경상사고,0,0,3,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,36세,0,1,1,0,9,80.62,82.21,989.0,4
4,2021-01-01 22:00:00,1월,22시,금요일,밤,서울특별시 양천구 신정동,서울특별시,양천구,신정동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,교차로 - 교차로안,여,39세,0,1,1,0,5,77.76,80.55,1062.0,2
5,2021-01-02 02:00:00,1월,02시,토요일,새벽,서울특별시 송파구 가락동,서울특별시,송파구,가락동,경상사고,0,0,1,0,신호위반,건조,기타,교차로 - 교차로안,남,25세,1,0,1,0,3,69.29,71.44,925.0,2
6,2021-01-02 11:00:00,1월,11시,토요일,낮,서울특별시 강북구 수유동,서울특별시,강북구,수유동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,여,54세,1,0,1,0,5,80.27,82.23,1466.0,2
7,2021-01-02 19:00:00,1월,19시,토요일,저녁,서울특별시 광진구 구의동,서울특별시,광진구,구의동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,44세,1,0,1,0,6,82.44,85.38,874.0,1
8,2021-01-02 20:00:00,1월,20시,토요일,저녁,서울특별시 관악구 신림동,서울특별시,관악구,신림동,경상사고,0,0,3,0,안전운전불이행,건조,맑음,단일로 - 기타,남,61세,1,0,1,0,9,79.22,82.52,2404.0,2
9,2021-01-02 21:00:00,1월,21시,토요일,밤,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동,중상사고,0,1,1,0,안전운전불이행,건조,기타,기타 - 기타,여,30세,1,0,1,0,8,77.4,79.28,2247.0,4
10,2021-01-02 22:00:00,1월,22시,토요일,밤,서울특별시 노원구 월계동,서울특별시,노원구,월계동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 교량,남,53세,1,0,1,0,6,79.46,81.04,449.0,1
11,2021-01-03 00:00:00,1월,00시,일요일,새벽,서울특별시 강북구 수유동,서울특별시,강북구,수유동,중상사고,0,1,0,0,신호위반,건조,맑음,교차로 - 교차로안,남,50세,1,0,1,0,5,80.27,82.23,1466.0,1
12,2021-01-03 20:00:00,1월,20시,일요일,저녁,서울특별시 영등포구 영등포동7가,서울특별시,영등포구,영등포동7가,중상사고,0,1,3,0,안전운전불이행,건조,맑음,단일로 - 기타,남,28세,1,0,1,0,14,70.74,73.22,157.0,1
